Individual,Year,Fat,Repeat,Fig1,Fig2
Sifaka01,1_Pre-Drought,2.5,no,Y,N
Sifaka01,2_Drought,4,no,Y,N
Sifaka02,1_Pre-Drought,3.5,yes,Y,N
Sifaka02,2_Drought,4.5,yes,Y,Y
Sifaka02,3_Post-Drought,2,yes,N,Y
Sifaka03,1_Pre-Drought,3.5,yes,Y,N
Sifaka03,2_Drought,5.5,yes,Y,N
Sifaka03-B,2_Drought,4.5,yes,N,Y
Sifaka03-B,3_Post-Drought,2,yes,N,Y
Sifaka04,1_Pre-Drought,3.5,no,Y,N
Sifaka04,2_Drought,5.5,no,Y,N
Sifaka05,1_Pre-Drought,3,yes,Y,N
Sifaka05,2_Drought,4.5,yes,Y,Y
Sifaka05,3_Post-Drought,2.5,yes,N,Y
Sifaka06,1_Pre-Drought,2.5,no,Y,N
Sifaka06,2_Drought,5,no,Y,N
Sifaka07,1_Pre-Drought,3,no,Y,N
Sifaka07,2_Drought,6.5,no,Y,N
Sifaka08,1_Pre-Drought,2.5,yes,Y,N
Sifaka08,2_Drought,3.5,yes,Y,N
Sifaka08-B,2_Drought,3,yes,N,Y
Sifaka08-B,3_Post-Drought,2.5,yes,N,Y
Sifaka09,1_Pre-Drought,4,no,Y,N
Sifaka09,2_Drought,4,no,Y,N
Sifaka10,1_Pre-Drought,3.5,no,Y,N
Sifaka10,2_Drought,2.5,no,Y,N
Sifaka11,1_Pre-Drought,1,yes,Y,N
Sifaka11,2_Drought,3,yes,Y,Y
Sifaka11,3_Post-Drought,2.5,yes,N,Y
Sifaka12,1_Pre-Drought,2.5,yes,Y,N
Sifaka12,2_Drought,5,yes,Y,Y
Sifaka12,3_Post-Drought,5,yes,N,Y
Sifaka13,1_Pre-Drought,1.5,yes,Y,N
Sifaka13,2_Drought,4.5,yes,Y,Y
Sifaka13,3_Post-Drought,4,yes,N,Y
Sifaka14,1_Pre-Drought,2,no,Y,N
Sifaka14,2_Drought,2,no,Y,N
Sifaka15,1_Pre-Drought,2,yes,Y,N
Sifaka15,2_Drought,2.5,yes,Y,N
Sifaka15-B,2_Drought,3.5,yes,N,Y
Sifaka15-B,3_Post-Drought,2,yes,N,Y
Sifaka16,1_Pre-Drought,2.5,no,Y,N
Sifaka16,2_Drought,4,no,Y,N
